Track,Time+Video,Player,Mii Name,Nation,Date,Character,Vehicle,Controller,Duration,Ghost
Mushroom Gorge,"1'40""722",Alperen,Alperen,Austria,2022-04-15,Funky Kong,Bowser Bike,Classic Controller,12,https://chadsoft.co.uk/time-trials/rkgd/17/53/E7ED1E3D3C1A7039922D9E02BC66D5B38F35.html
Toad's Factory,"1'49""197",Logan,GlchO,USA,2021-06-23,Funky Kong,Bowser Bike,Classic Controller,308,https://chadsoft.co.uk/time-trials/rkgd/C6/BB/A75ADD81A520F2E7E222ED8C6FDB3ADA0A7D.html
Mario Circuit,"1'20""357",Guy,Mt.11:28,USA,2021-04-17,Funky Kong,Torpedo,Wiimote+Nunchuck,375,https://chadsoft.co.uk/time-trials/rkgd/F4/E9/57CD710D136F441A2EB3DD8C69D545059F9E.html
Coconut Mall,"1'55""541",Braixen,GlchV,USA,2022-04-17,Funky Kong,Bowser Bike,Classic Controller,10,https://www.chadsoft.co.uk/time-trials/rkgd/AA/51/B1CEC0575695BADADD5295EB40C390B61940.html
Wario's Gold Mine,"1'50""053",Luke,Lk,UK,2022-02-12,Funky Kong,Bowser Bike,Wiimote+Nunchuck,74,https://chadsoft.co.uk/time-trials/rkgd/14/B5/7DDAC81CEBBE98198D59634C4727BD64C10A.html
Koopa Cape,"2'17""937",Luke,KC>DKSC,UK,2021-11-16,Funky Kong,Bowser Bike,Wiimote+Nunchuck,162,https://chadsoft.co.uk/time-trials/rkgd/5F/94/33C8ECA5431982211393FA073F4F4A9EC6ED.html
Maple Treeway,"2'14""059",Demon,SBernelli,USA,2022-03-27,Funky Kong,Bowser Bike,GCN Controller,31,https://www.chadsoft.co.uk/time-trials/rkgd/DF/2E/5EB3CA668F22EF043A576D810A2DA84A5631.html
Grumble Volcano,"1'51""067",Barney,Mwbarney,Norway,2022-03-11,Funky Kong,Bowser Bike,GCN Controller,47,https://chadsoft.co.uk/time-trials/rkgd/F7/EA/FC3EB6F7A63A96F779F633DEED0BE5DB9857.html
Bowser's Castle,"2'20""431",Jared2K,092Kg0d,USA,2022-03-31,Funky Kong,Bowser Bike,GCN Controller,27,https://www.chadsoft.co.uk/time-trials/rkgd/2D/A9/37F54B77DE71AB5643F22236890C675090C8.html
Rainbow Road,"2'24""536",kaede,RRK4EDE,Japan,2022-03-25,Funky Kong,Flame Flyer,Classic Controller,33,https://chadsoft.co.uk/time-trials/rkgd/DD/17/01FCDC2E9854EDCFE05953BA44587227A5E5.html
GCN Peach Beach,"1'12""678",Kasey,Kasey,USA,2021-12-22,Funky Kong,Torpedo,Wiimote+Nunchuck,126,https://chadsoft.co.uk/time-trials/rkgd/A3/30/9914D2392E70B0CACEECD4448810DB894A46.html
SNES Ghost Valley 2,"0'52""775",Sosis,NORUBER,USA,2021-02-20,Funky Kong,Bowser Bike,Wiimote+Nunchuck,431,https://chadsoft.co.uk/time-trials/rkgd/19/F9/811ACF522C2782B62A14AB3E5E9B648589D1.html
N64 Sherbet Land,"2'03""750",Sosis,Sisos,USA,2019-07-10,Toadette,Magikruiser,Wiimote+Nunchuck,1022,http://www.chadsoft.co.uk/time-trials/rkgd/90/0E/5236E660C3E93CBDAA56D7B22BB1A0B7E10B.html
GBA Shy Guy Beach,"1'21""457",Darragh,Darragh,UK,2022-03-12,Funky Kong,Torpedo,Classic Controller,46,https://chadsoft.co.uk/time-trials/rkgd/1D/EE/2B1A02D4B2947E77FB6F9C5173A62674F5AF.html
GCN Waluigi Stadium,"1'48""422",Connor,DKSC>,USA,2022-03-16,Funky Kong,Bowser Bike,Classic Controller,42,https://www.chadsoft.co.uk/time-trials/rkgd/FB/46/B4C78354380341CA2201245CDC14385924D0.html
DS Desert Hills,"1'34""397",Sosis,Sosis,USA,2020-03-14,Funky Kong,Bowser Bike,Wiimote+Nunchuck,774,http://chadsoft.co.uk/time-trials/rkgd/20/BB/DC1745F9FA2C41266F71CBA600FC3D9BB3B6.html
GBA Bowser Castle 3,"2'16""366",Luke,BC3>DKSC,UK,2021-05-03,Funky Kong,Bowser Bike,Wiimote+Nunchuck,359,https://chadsoft.co.uk/time-trials/rkgd/F8/AD/AAD78A0731E92691268640FDC990C1FD5C34.html
N64 DK's Jungle Parkway,"2'11""117",Luke,Lk,UK,2021-10-06,Daisy,Mach Bike,Wiimote+Nunchuck,203,https://www.chadsoft.co.uk/time-trials/rkgd/FA/09/D2FA15B5E27DE93BF7A44B659F45B077BB4B.html
GCN DK Mountain,"2'04""775",Logan,GlchO,USA,2021-11-30,Daisy,Mach Bike,Classic Controller,148,https://www.chadsoft.co.uk/time-trials/rkgd/7F/79/B00636D9EFD92B5DF7A35BD3AA6DC5BCDD82.html
N64 Bowser's Castle,"2'30""605",Luke,Lk,UK,2022-04-08,Funky Kong,Bowser Bike,Wiimote+Nunchuck,19,https://chadsoft.co.uk/time-trials/rkgd/7F/4E/C03CA47923AB44D1EA44C12F951FB586500F.html
