Track,Time+Video,Player,Mii Name,Nation,Date,Character,Vehicle,Controller,Duration,Ghost
Luigi Circuit,"1'08""774",Cole,Cole,Canada,2019-11-26,Funky Kong,Torpedo,GCN Controller,883,http://chadsoft.co.uk/time-trials/rkgd/DB/E0/9D0E74FC89F62B45F42E5ACD3B0556B71026.html
Moo Moo Meadows,"1'15""483",Sosis,Sosis,USA,2019-11-02,Funky Kong,Bowser Bike,Wiimote+Nunchuck,907,http://chadsoft.co.uk/time-trials/rkgd/2C/C8/270AA3683AF50A6462C57B6F56CEA1F3667C.html
Mushroom Gorge,"0'20""132",Bryce,Bryce,USA,2022-01-18,Baby Mario,Quacker,Wii Wheel,99,https://chadsoft.co.uk/time-trials/rkgd/AD/96/34F20463A523E1A52FB7B6D444B8636EA82D.html
Toad's Factory,"1'44""308",Logan,AcqNZ,USA,2022-04-02,Funky Kong,Bowser Bike,Classic Controller,25,https://chadsoft.co.uk/time-trials/rkgd/BF/F0/39A5A840E2557C618F66B3DEA1E09ED00549.html
Mario Circuit,"0'47""715",Logan,GlchO,USA,2021-02-11,Funky Kong,Torpedo,Classic Controller,440,https://chadsoft.co.uk/time-trials/rkgd/25/AF/01FE16436B7071FBA621517005C5DB77678D.html
Coconut Mall,"0'31""335",Braixen,GlchV,USA,2022-04-06,Daisy,Mach Bike,Classic Controller,21,https://chadsoft.co.uk/time-trials/rkgd/8C/DD/D8C0D85D84BCFCF496771E80588D29A78978.html
DK's Snowboard Cross,"1'45""210",Blake,Blake,USA,2021-11-05,Funky Kong,Bowser Bike,GCN Controller,173,https://chadsoft.co.uk/time-trials/rkgd/A4/74/F0BCD991801EB7A6D493ADC771F5C0E8326C.html
Wario's Gold Mine,"0'31""849",poyo,MsPoyo,Spain,2022-03-25,Funky Kong,Bowser Bike,Classic Controller,33,https://cdn.discordapp.com/attachments/956992293129298000/957001481607843840/WGM_MsPoyo_0m31s849.rkg
Daisy Circuit,"1'28""425",Luke,Lk,UK,2019-08-12,Daisy,Mach Bike,Wiimote+Nunchuck,989,http://www.chadsoft.co.uk/time-trials/rkgd/FC/AB/FA6DB1E72552F02877E09132D75345038CFA.html
Koopa Cape,"2'11""015",Logan,GlchO,USA,2021-12-14,Funky Kong,Torpedo,Classic Controller,134,https://chadsoft.co.uk/time-trials/rkgd/05/6B/26F5EC2DFC8FAF5C901AFC4B14F4D1D73BC0.html
